support,weight,old_expected_count,systematic_expected_count
4,17,0.20000000000000001,0.040000000000000001
4,18,0.16,0.16
4,19,0.64000000000000001,0.20000000000000001
4,20,1.3999999999999999,0.44
4,21,2.04,1.3600000000000001
4,22,2.7200000000000002,1.48
4,23,3.6800000000000002,3.5600000000000001
4,24,5.7199999999999998,3.7599999999999998
4,25,7.9199999999999999,6.7599999999999998
4,26,10.84,10
4,27,12.359999999999999,12.44
4,28,15.640000000000001,16.079999999999998
4,29,17.120000000000001,19
4,30,21.079999999999998,22.879999999999999
4,31,21.48,25.920000000000002
4,32,25.84,28.800000000000001
4,33,28.359999999999999,32.039999999999999
4,34,33.640000000000001,39.240000000000002
4,35,36.240000000000002,43.039999999999999
4,36,40.759999999999998,57.32
4,37,47.079999999999998,65.599999999999994
4,38,58.039999999999999,91.239999999999995
4,39,66.040000000000006,114.95999999999999
4,40,97,177.16
4,41,120.68000000000001,240.84
4,42,172.96000000000001,366.24000000000001
4,43,239.80000000000001,517.20000000000005
4,44,355.27999999999997,750.72000000000003
4,45,485.27999999999997,1023.3200000000001
4,46,689.55999999999995,1340.8
4,47,915.84000000000003,1626.3199999999999
4,48,1179,1894.5999999999999
4,49,1436.1600000000001,2028.72
4,50,1703.0799999999999,2006.8399999999999
4,51,1853.52,1777.3599999999999
4,52,1895.76,1432.3199999999999
4,53,1779.1600000000001,1001.5599999999999
4,54,1534.1600000000001,613.32000000000005
4,55,1183.48,313.83999999999997
4,56,842,146.12
4,57,510.19999999999999,47.479999999999997
4,58,273.68000000000001,14.880000000000001
4,59,123.36,2.3999999999999999
4,60,51.32,1.6399999999999999
4,61,14.039999999999999,0
4,62,4.04,0
4,63,0.47999999999999998,0
4,64,1.0800000000000001,0
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,0,0
5,10,0,0
5,11,0,0
5,12,0,0
5,13,0,0
5,14,0,0
5,15,0,0
5,16,0,0
5,17,0,0
5,18,0,0
5,19,0,0
5,20,0,0
5,21,0,0
5,22,0,0
5,23,0,0
5,24,0,0
5,25,0,0
5,26,0,0
5,27,0,0
5,28,0,0
5,29,0.040000000000000001,0
5,30,0.040000000000000001,0
5,31,0.44,0.12
5,32,0.40000000000000002,0.16
5,33,1.28,0.68000000000000005
5,34,2.7200000000000002,2.6400000000000001
5,35,5.5999999999999996,5.9199999999999999
5,36,10.279999999999999,11.84
5,37,21.760000000000002,30.16
5,38,47.280000000000001,60.560000000000002
