mode,ensemble,projected_state,expected_pair_count,expected_low_tail_contribution,fraction_of_low_tail,max_tail_probability,projected_upper_contribution,projected_slack_factor
support_active,original,1:25,4.64,0.0,0.0,0.0,0.0,0.0
support_active,original,1:26,4.0,0.0,0.0,0.0,0.0,0.0
support_active,original,6:20,83.03999999999989,0.0,0.0,0.0,0.0,0.0
support_active,original,1:23,3.68,0.0,0.0,0.0,0.0,0.0
support_active,original,1:22,3.44,0.0,0.0,0.0,0.0,0.0
support_active,original,3:21,3.2,0.0,0.0,0.0,0.0,0.0
support_active,original,1:27,2.64,0.0,0.0,0.0,0.0,0.0
support_active,original,7:23,31.999999999999922,0.0,0.0,0.0,0.0,0.0
support_active,original,1:28,2.24,0.0,0.0,0.0,0.0,0.0
support_active,original,2:31,35.51999999999988,0.0,0.0,0.0,0.0,0.0
support_active,original,2:32,28.719999999999906,0.0,0.0,0.0,0.0,0.0
support_active,original,1:29,1.6,0.0,0.0,0.0,0.0,0.0
support_active,original,6:18,28.159999999999958,0.0,0.0,0.0,0.0,0.0
support_active,original,5:24,32.959999999999916,0.0,0.0,0.0,0.0,0.0
support_active,original,1:20,1.44,0.0,0.0,0.0,0.0,0.0
support_active,original,1:21,1.28,0.0,0.0,0.0,0.0,0.0
support_active,original,1:19,0.96,0.0,0.0,0.0,0.0,0.0
support_active,original,7:22,15.36000000000001,0.0,0.0,0.0,0.0,0.0
support_active,original,1:30,0.72,0.0,0.0,0.0,0.0,0.0
support_active,original,6:19,13.280000000000006,0.0,0.0,0.0,0.0,0.0
support_active,original,3:20,5.680000000000002,0.0,0.0,0.0,0.0,0.0
support_active,original,5:22,5.120000000000003,0.0,0.0,0.0,0.0,0.0
support_active,original,5:23,12.160000000000007,0.0,0.0,0.0,0.0,0.0
support_active,original,1:17,0.32,0.0,0.0,0.0,0.0,0.0
support_active,original,3:19,0.24,0.0,0.0,0.0,0.0,0.0
support_active,original,6:17,2.5600000000000014,0.0,0.0,0.0,0.0,0.0
support_active,original,1:18,0.08,0.0,0.0,0.0,0.0,0.0
support_active,original,1:31,0.08,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:28,74111.36000000007,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:28,61627.359999999986,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:28,28409.920000000053,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:28,21938.880000000023,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:27,21444.480000000025,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:27,20318.240000000016,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:26,17182.720000000016,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:27,14967.039999999977,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:27,14090.879999999992,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:26,15010.239999999996,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:26,10247.67999999999,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:25,10995.839999999993,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:25,9530.559999999978,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:26,10836.959999999992,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:24,4293.919999999997,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:23,1854.3999999999992,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:28,6001.439999999985,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:25,6424.319999999989,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:24,2897.5999999999976,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:23,1213.7599999999989,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:22,932.8000000000001,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:27,5008.639999999991,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:22,678.4000000000002,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:25,6413.92,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:24,430.7999999999999,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:23,201.28000000000023,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:24,945.1200000000002,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:24,4770.560000000002,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:23,374.87999999999994,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:22,207.04000000000013,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:25,270.8800000000003,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:21,351.84000000000015,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:22,278.7199999999999,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:24,2624.6399999999967,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:26,3081.8399999999956,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:25,1740.88,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:21,250.88000000000042,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:21,56.71999999999987,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:20,328.31999999999994,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:26,591.2000000000006,0.0,0.0,0.0,0.0,0.0
