index,columns
535,0:1:2:3:5:14:25:42:53
536,0:1:2:3:5:14:26:42:54
537,0:1:2:3:5:14:27:42:55
538,0:1:2:3:5:14:28:42:56
539,0:1:2:3:5:14:29:42:57
540,0:1:2:3:5:14:30:42:58
541,0:1:2:3:5:14:31:42:59
542,0:1:2:3:5:14:32:42:60
543,0:1:2:3:5:14:33:42:61
544,0:1:2:3:5:14:34:42:62
545,0:1:2:3:5:14:35:42:63
546,0:1:2:3:5:15:16:43:44
547,0:1:2:3:5:15:17:43:45
548,0:1:2:3:5:15:18:43:46
549,0:1:2:3:5:15:19:43:47
550,0:1:2:3:5:15:20:43:48
551,0:1:2:3:5:15:21:43:49
552,0:1:2:3:5:15:22:43:50
553,0:1:2:3:5:15:23:43:51
554,0:1:2:3:5:15:24:43:52
555,0:1:2:3:5:15:25:43:53
556,0:1:2:3:5:15:26:43:54
557,0:1:2:3:5:15:27:43:55
558,0:1:2:3:5:15:28:43:56
559,0:1:2:3:5:15:29:43:57
560,0:1:2:3:5:15:30:43:58
561,0:1:2:3:5:15:31:43:59
562,0:1:2:3:5:15:32:43:60
563,0:1:2:3:5:15:33:43:61
564,0:1:2:3:5:15:34:43:62
565,0:1:2:3:5:15:35:43:63
566,0:1:2:3:5:16:17:44:45
567,0:1:2:3:5:16:18:44:46
568,0:1:2:3:5:16:19:44:47
569,0:1:2:3:5:16:20:44:48
570,0:1:2:3:5:16:21:44:49
571,0:1:2:3:5:16:22:44:50
572,0:1:2:3:5:16:23:44:51
573,0:1:2:3:5:16:24:44:52
574,0:1:2:3:5:16:25:44:53
575,0:1:2:3:5:16:26:44:54
576,0:1:2:3:5:16:27:44:55
577,0:1:2:3:5:16:28:44:56
578,0:1:2:3:5:16:29:44:57
579,0:1:2:3:5:16:30:44:58
580,0:1:2:3:5:16:31:44:59
581,0:1:2:3:5:16:32:44:60
582,0:1:2:3:5:16:33:44:61
583,0:1:2:3:5:16:34:44:62
584,0:1:2:3:5:16:35:44:63
585,0:1:2:3:5:17:18:45:46
586,0:1:2:3:5:17:19:45:47
587,0:1:2:3:5:17:20:45:48
588,0:1:2:3:5:17:21:45:49
589,0:1:2:3:5:17:22:45:50
590,0:1:2:3:5:17:23:45:51
591,0:1:2:3:5:17:24:45:52
592,0:1:2:3:5:17:25:45:53
593,0:1:2:3:5:17:26:45:54
