"subset_index","columns","support_mask","support_columns","rho","components","tau","root_count","support_rank","support_components","delta","generic_kernel_dim","complement_rank","generic_endpoint_logq","component_endpoint_logq","endpoint_bound_logq","endpoint_root_weight_logq","line_assignments","kernel_profile","contained_root_line_count","contained_root_line_logq","exact_root_line_count","exact_root_line_logq","asymptotic_root_weight_logq","endpoint_excess_logq","projective_line_factor_logq","nonzero_root_normalization_logq","exceptional_kappa3_count","residual_endpoint_excess_logq"
"2","0:1:5:7:9","25","0:7:9","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","26","1:7:9","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","28","5:7:9","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","15","0:1:5:7","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"2","0:1:5:7:9","23","0:1:5:9","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"2","0:1:5:7:9","27","0:1:7:9","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"2","0:1:5:7:9","29","0:5:7:9","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"2","0:1:5:7:9","30","1:5:7:9","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"2","0:1:5:7:9","31","0:1:5:7:9","4","1","2","5","4","1","4","3","0","7","5","7","2","248832","3:248820;4:12","33287772","7.223293225851743","31965852","7.206394275015425","2.206394275015425","0.20639427501542507","0.18143281313550919","0.19873716105436257","NA","-0.17377569917444669"
"3","0:8:10:14:15","21","0:10:15","3","1","2","3","3","3","2","1","1","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"3","0:8:10:14:15","15","0:8:10:14","3","1","2","4","3","3","2","0","1","-Infinity","3","3","-1","20736","0:17424;1:3300;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","-1.9637134373728982","0.14514625050840735","0.15898972884349005","NA","-2.2678494167247956"
"3","0:8:10:14:15","27","0:8:14:15","3","1","2","4","3","3","2","0","1","-Infinity","3","3","-1","20736","0:17424;1:3300;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","-1.9637134373728982","0.14514625050840735","0.15898972884349005","NA","-2.2678494167247956"
"3","0:8:10:14:15","30","8:10:14:15","3","1","2","4","3","3","2","0","1","-Infinity","3","3","-1","20736","0:17424;1:3300;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","-1.9637134373728982","0.14514625050840735","0.15898972884349005","NA","-2.2678494167247956"
"3","0:8:10:14:15","31","0:8:10:14:15","3","1","2","5","3","1","3","1","0","-Infinity","3","3","-2","248832","1:226512;2:22308;3:12","23904","4.204437617564077","21744","4.164941334045784","-0.8350586659542163","1.1649413340457837","0.18143281313550919","0.19873716105436257","NA","0.78477135985591195"
"4","3:6:10:11:12","7","3:6:10","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","11","3:6:11","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","13","3:10:11","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","14","6:10:11","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","19","3:6:12","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","21","3:10:12","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","22","6:10:12","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","25","3:11:12","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","26","6:11:12","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"4","3:6:10:11:12","28","10:11:12","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
