depth,k,output_weight_bound,zero_count,log2_union_tail
11,2048,396,1652,-210010.58761337
11,2048,397,1651,-209880.53061059
11,2048,398,1650,-209750.47811081
11,2048,399,1649,-209620.43010543
11,2048,400,1648,-209490.38658594
11,2048,401,1647,-209360.34754384
11,2048,402,1646,-209230.31297069
11,2048,403,1645,-209100.28285810
11,2048,404,1644,-208970.25719771
11,2048,405,1643,-208840.23598123
11,2048,406,1642,-208710.21920038
11,2048,407,1641,-208580.20684695
11,2048,408,1640,-208450.19891277
11,2048,409,1639,-208320.19538970
11,2048,410,1638,-208190.19626966
11,2048,411,1637,-208060.20154461
11,2048,412,1636,-207930.21120653
11,2048,413,1635,-207800.22524747
11,2048,414,1634,-207670.24365950
11,2048,415,1633,-207540.26643476
11,2048,416,1632,-207410.29356540
11,2048,417,1631,-207280.32504364
11,2048,418,1630,-207150.36086170
11,2048,419,1629,-207020.40101189
11,2048,420,1628,-206890.44548651
11,2048,421,1627,-206760.49427795
11,2048,422,1626,-206630.54737861
11,2048,423,1625,-206500.60478092
11,2048,424,1624,-206370.66647737
11,2048,425,1623,-206240.73246048
11,2048,426,1622,-206110.80272282
11,2048,427,1621,-205980.87725697
11,2048,428,1620,-205850.95605558
11,2048,429,1619,-205721.03911132
11,2048,430,1618,-205591.12641690
11,2048,431,1617,-205461.21796507
11,2048,432,1616,-205331.31374861
11,2048,433,1615,-205201.41376034
11,2048,434,1614,-205071.51799312
11,2048,435,1613,-204941.62643985
11,2048,436,1612,-204811.73909345
11,2048,437,1611,-204681.85594689
11,2048,438,1610,-204551.97699318
11,2048,439,1609,-204422.10222533
11,2048,440,1608,-204292.23163643
11,2048,441,1607,-204162.36521959
11,2048,442,1606,-204032.50296793
11,2048,443,1605,-203902.64487465
11,2048,444,1604,-203772.79093293
11,2048,445,1603,-203642.94113603
11,2048,446,1602,-203513.09547722
11,2048,447,1601,-203383.25394981
11,2048,448,1600,-203253.41654714
11,2048,449,1599,-203123.58326258
11,2048,450,1598,-202993.75408955
11,2048,451,1597,-202863.92902148
11,2048,452,1596,-202734.10805185
11,2048,453,1595,-202604.29117415
11,2048,454,1594,-202474.47838193
11,2048,455,1593,-202344.66966875
11,2048,456,1592,-202214.86502821
11,2048,457,1591,-202085.06445395
11,2048,458,1590,-201955.26793961
11,2048,459,1589,-201825.47547891
11,2048,460,1588,-201695.68706555
11,2048,461,1587,-201565.90269329
11,2048,462,1586,-201436.12235592
11,2048,463,1585,-201306.34604725
11,2048,464,1584,-201176.57376112
11,2048,465,1583,-201046.80549140
11,2048,466,1582,-200917.04123201
11,2048,467,1581,-200787.28097686
11,2048,468,1580,-200657.52471993
11,2048,469,1579,-200527.77245520
11,2048,470,1578,-200398.02417669
11,2048,471,1577,-200268.27987845
11,2048,472,1576,-200138.53955456
11,2048,473,1575,-200008.80319911
11,2048,474,1574,-199879.07080624
11,2048,475,1573,-199749.34237012
11,2048,476,1572,-199619.61788493
11,2048,477,1571,-199489.89734488
11,2048,478,1570,-199360.18074423
11,2048,479,1569,-199230.46807723
11,2048,480,1568,-199100.75933819
11,2048,481,1567,-198971.05452143
