shape,columns,is_bad,deficient_samples,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3
93,0:1:2:3:6:7:20:34:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
94,0:1:2:3:6:7:20:48:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
95,0:1:2:3:6:7:21:35:49,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
96,0:1:2:3:6:7:21:35:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
97,0:1:2:3:6:7:21:49:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
98,0:1:2:3:6:7:22:36:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
99,0:1:2:3:6:7:23:37:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
100,0:1:2:3:6:7:24:38:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
101,0:1:2:3:6:7:25:39:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
102,0:1:2:3:6:7:26:40:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
103,0:1:2:3:6:7:27:41:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
104,0:1:2:3:6:7:28:42:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
105,0:1:2:3:6:7:29:43:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
106,0:1:2:3:6:7:30:44:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
107,0:1:2:3:6:7:31:45:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
108,0:1:2:3:6:7:32:46:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
109,0:1:2:3:6:7:33:47:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
110,0:1:2:3:6:7:34:48:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
111,0:1:2:3:6:7:35:49:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
112,0:1:4:5:6:7:8:22:36,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
113,0:1:4:5:6:7:8:22:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
