ensemble,mode,cutoff,cumulative_expected_count
systematic,support_active,26,102.76427738897499
systematic,support_active,27,149.00394012384896
systematic,support_active,28,210.31575731315684
systematic,support_active,29,291.597204428269
systematic,support_active,30,400.564132379827
systematic,support_active,31,549.473844466994
systematic,support_active,32,757.761999737664
systematic,support_active,33,1056.7194144980226
systematic,support_active,34,1498.276859465588
systematic,support_active,35,2172.375005523306
systematic,support_active,36,3237.834231763093
systematic,support_active,37,4968.281764114116
systematic,support_active,38,7806.96993814588
systematic,support_active,39,12414.335581804684
systematic,support_active,40,19685.18590356375
systematic,support_active,41,30713.281876539768
systematic,support_active,42,46687.47326262546
systematic,support_active,43,68705.74840332574
systematic,support_active,44,97491.26380390821
systematic,support_active,45,133015.72656514455
systematic,support_active,46,174117.53341632584
systematic,support_active,47,218322.19096305233
systematic,support_active,48,262109.61501161204
systematic,support_active,49,301701.6376288997
systematic,support_active,50,334110.4427544532
systematic,support_active,51,357949.01583927195
systematic,support_active,52,373597.32384045416
systematic,support_active,53,382702.8674359871
systematic,support_active,54,387366.7648248976
systematic,support_active,55,389453.1631978823
systematic,support_active,56,390260.84196956956
systematic,support_active,57,390528.3403045177
systematic,support_active,58,390603.035898315
systematic,support_active,59,390620.28281949356
systematic,support_active,60,390623.48788216966
systematic,support_active,61,390623.94858400535
systematic,support_active,62,390623.99665469304
systematic,support_active,63,390623.99989416497
systematic,support_active,64,390624.00000000023
systematic,support_equal_root,0,0.0
systematic,support_equal_root,1,0.0
systematic,support_equal_root,2,0.0
systematic,support_equal_root,3,0.0
systematic,support_equal_root,4,0.0
systematic,support_equal_root,5,0.0
systematic,support_equal_root,6,0.0
systematic,support_equal_root,7,0.0
systematic,support_equal_root,8,0.0
systematic,support_equal_root,9,0.0
systematic,support_equal_root,10,0.0
systematic,support_equal_root,11,0.0
systematic,support_equal_root,12,1.2969970703125e-06
systematic,support_equal_root,13,3.414154052734375e-05
systematic,support_equal_root,14,0.0017741060256958006
systematic,support_equal_root,15,0.018775146007537845
systematic,support_equal_root,16,0.10198061928153039
systematic,support_equal_root,17,0.36414397133514287
systematic,support_equal_root,18,0.9737176821194586
systematic,support_equal_root,19,2.1453532979148444
systematic,support_equal_root,20,4.212649832176685
systematic,support_equal_root,21,7.787820428285123
systematic,support_equal_root,22,13.861562664239251
systematic,support_equal_root,23,23.6913945037551
systematic,support_equal_root,24,38.602573729515164
systematic,support_equal_root,25,59.46714980192872
systematic,support_equal_root,26,87.46214938156311
systematic,support_equal_root,27,123.05318304241477
systematic,support_equal_root,28,168.992795056934
systematic,support_equal_root,29,225.95057696837063
systematic,support_equal_root,30,300.96147686071066
systematic,support_equal_root,31,398.85199185124844
systematic,support_equal_root,32,536.8541095867448
systematic,support_equal_root,33,726.2139430503995
systematic,support_equal_root,34,1002.6748897577563
systematic,support_equal_root,35,1389.3387199547412
systematic,support_equal_root,36,1961.2804483487675
systematic,support_equal_root,37,2794.694046155896
systematic,support_equal_root,38,4080.0865781011294
systematic,support_equal_root,39,6059.925052822365
systematic,support_equal_root,40,9174.283681731056
systematic,support_equal_root,41,13974.45770397824
systematic,support_equal_root,42,21250.145992808593
systematic,support_equal_root,43,31876.52732650233
systematic,support_equal_root,44,46879.58513685362
systematic,support_equal_root,45,67151.78095572101
systematic,support_equal_root,46,93432.10628951195
systematic,support_equal_root,47,125831.08452776467
systematic,support_equal_root,48,163761.75623093103
systematic,support_equal_root,49,205376.89678033628
systematic,support_equal_root,50,247995.4449536603
systematic,support_equal_root,51,288065.7770386763
systematic,support_equal_root,52,322579.994360139
systematic,support_equal_root,53,349278.13383470895
systematic,support_equal_root,54,367932.74845848716
systematic,support_equal_root,55,379391.5649887644
systematic,support_equal_root,56,385721.44867150433
systematic,support_equal_root,57,388698.30278026144
systematic,support_equal_root,58,389983.5567846904
systematic,support_equal_root,59,390419.31820083526
systematic,support_equal_root,60,390574.7708837251
systematic,support_equal_root,61,390605.86559167964
systematic,support_equal_root,62,390618.2222511106
systematic,support_equal_root,63,390618.9176834528
systematic,support_equal_root,64,390623.99999999965
systematic,support_single_double,0,0.0
systematic,support_single_double,1,0.0
systematic,support_single_double,2,0.0
systematic,support_single_double,3,0.0
systematic,support_single_double,4,0.0
systematic,support_single_double,5,0.0
systematic,support_single_double,6,0.0
systematic,support_single_double,7,0.0
systematic,support_single_double,8,0.0
systematic,support_single_double,9,0.0
systematic,support_single_double,10,0.0
systematic,support_single_double,11,0.0
systematic,support_single_double,12,1.2969970703125e-06
systematic,support_single_double,13,3.414154052734375e-05
systematic,support_single_double,14,0.0007597017288208009
systematic,support_single_double,15,0.0070945811271667485
systematic,support_single_double,16,0.039009075015783316
systematic,support_single_double,17,0.1501234051398933
systematic,support_single_double,18,0.4485646434500814
systematic,support_single_double,19,1.122174258737359
systematic,support_single_double,20,2.4916329309609138
systematic,support_single_double,21,5.187204336907671
systematic,support_single_double,22,10.97857417338237
systematic,support_single_double,23,25.978152312915146
systematic,support_single_double,24,420.92913916132136
systematic,support_single_double,25,536.3984532010434
systematic,support_single_double,26,803.4118427382772
systematic,support_single_double,27,1323.46209866337
systematic,support_single_double,28,2185.8654962151118
systematic,support_single_double,29,3438.813305972251
systematic,support_single_double,30,5101.0747160972705
systematic,support_single_double,31,7212.123549460261
systematic,support_single_double,32,9901.574568708558
systematic,support_single_double,33,13364.408426646885
systematic,support_single_double,34,17995.625255119932
systematic,support_single_double,35,24363.652082606342
systematic,support_single_double,36,33224.969349030835
systematic,support_single_double,37,45449.839956266376
systematic,support_single_double,38,62133.7895786118
systematic,support_single_double,39,83378.83337528723
systematic,support_single_double,40,109610.2410641345
systematic,support_single_double,41,140365.08966440693
systematic,support_single_double,42,174477.6625971725
systematic,support_single_double,43,210191.9966117195
systematic,support_single_double,44,245458.91035935984
systematic,support_single_double,45,278329.4627836692
systematic,support_single_double,46,307294.1042362138
systematic,support_single_double,47,331454.6848812788
systematic,support_single_double,48,350530.3068333113
systematic,support_single_double,49,364766.17781159776
systematic,support_single_double,50,374792.6808879354
systematic,support_single_double,51,381450.62803101214
systematic,support_single_double,52,385614.5873057071
systematic,support_single_double,53,388061.4185308237
systematic,support_single_double,54,389405.9879831693
systematic,support_single_double,55,390091.83744581736
systematic,support_single_double,56,390413.2139654029
systematic,support_single_double,57,390549.6405513401
systematic,support_single_double,58,390601.1683302035
systematic,support_single_double,59,390618.08340107993
systematic,support_single_double,60,390622.76078458695
systematic,support_single_double,61,390623.80356496765
systematic,support_single_double,62,390623.97899847955
systematic,support_single_double,63,390623.99885797134
systematic,support_single_double,64,390624.00000000035
systematic,full,0,0.0
systematic,full,1,0.0
systematic,full,2,0.0
systematic,full,3,0.0
systematic,full,4,0.0
systematic,full,5,0.0
systematic,full,6,0.0
systematic,full,7,0.0
systematic,full,8,0.0
systematic,full,9,0.0
systematic,full,10,0.0
systematic,full,11,0.0
systematic,full,12,1.2969970703125e-06
systematic,full,13,3.414154052734375e-05
systematic,full,14,0.0005253267288208008
systematic,full,15,0.004360206127166748
systematic,full,16,0.02334501251578331
systematic,full,17,0.0911390265636146
systematic,full,18,0.2823788921907545
systematic,full,19,0.7388335795351303
systematic,full,20,1.6985780413341127
systematic,full,21,3.5046242570604225
systematic,full,22,6.59572212775995
systematic,full,23,11.558438529939107
systematic,full,24,19.341799592116107
systematic,full,25,31.003774742974308
systematic,full,26,48.314917749405026
systematic,full,27,72.28106175236725
systematic,full,28,105.50642629101304
systematic,full,29,147.1965536514638
systematic,full,30,201.17791340364352
systematic,full,31,266.96420822182495
systematic,full,32,354.0619163197126
systematic,full,33,463.40850818853426
systematic,full,34,617.2717770188553
systematic,full,35,819.070244583072
systematic,full,36,1109.7828640547111
systematic,full,37,1502.466410751215
systematic,full,38,2076.162194951713
systematic,full,39,2893.952676032439
systematic,full,40,4135.251410650161
systematic,full,41,6011.119220666875
systematic,full,42,8917.100483918826
systematic,full,43,13333.983049899476
systematic,full,44,19974.30754982874
systematic,full,45,29608.417821594798
systematic,full,46,43192.168930734566
systematic,full,47,61579.06157681216
systematic,full,48,85634.29637691028
systematic,full,49,115711.87394535408
systematic,full,50,151762.08887142793
systematic,full,51,192494.566661302
systematic,full,52,235727.5426870703
systematic,full,53,277863.67247428885
systematic,full,54,315400.9092234711
systematic,full,55,345220.755254577
systematic,full,56,366309.27938824677
systematic,full,57,379204.0042768937
systematic,full,58,386056.38240889774
systematic,full,59,389078.4515218531
systematic,full,60,390210.3460501988
systematic,full,61,390531.62756887666
systematic,full,62,390608.10809171165
systematic,full,63,390618.2239270146
systematic,full,64,390623.99999999435
